Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_030431295.1	ASM3043129v1	Gammaproteobacteria bacterium					Co_bin.287			1338829	Contig	2023-07-11	JAUIIZ01	4197								Illumina HiSeq	Inha University	PRJNA967453	SAMN36083900							
GCA_003500065.1	ASM350006v1	Gammaproteobacteria bacterium					UBA10972		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2678811	Scaffold	2018-09-07	DNRH01	4192	12414							Illumina HiSeq 2000	University of Queensland	PRJNA417962	SAMN08018697	3229	3117	78				
GCA_030628685.1	ASM3062868v1	Gammaproteobacteria bacterium					CSMAG_1576			2131402	Contig	2023-08-03	DAOVQN01	4189								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34049589							
GCA_963577455.1	CB4_20m.15	Gammaproteobacteria bacterium					CB4_20m.15			1667438	Contig	2023-11-05	CAUYYZ01	4179								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238126							
GCA_003456865.1	ASM345686v1	Gammaproteobacteria bacterium					UBA8230		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2327324	Scaffold	2018-09-05	DMON01	4176	6786							Illumina HiSeq 2000	University of Queensland	PRJNA417962	SAMN08020455	2482	2448	19				
GCA_003453775.1	ASM345377v1	Gammaproteobacteria bacterium					UBA9626		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	829366	Scaffold	2018-09-05	DMMV01	4175	6782							Illumina HiSeq 1000	University of Queensland	PRJNA417962	SAMN08017898	1033	995	14				
GCA_024511485.1	ASM2451148v1	Gammaproteobacteria bacterium					Gamma1-204			4311364	Scaffold	2022-08-03	JANELG01	4174	4280							Illumina NovaSeq	University of Rhode Island	PRJNA523619	SAMN29718526							
GCA_024641525.1	ASM2464152v1	Gammaproteobacteria bacterium					Ww182			3457617	Scaffold	2022-08-12	JAHECX01	4173	4228							Illumina HiSeq	Handley Lab, University of Auckland	PRJNA668816	SAMN19289877							
GCA_035455545.1	ASM3545554v1	Gammaproteobacteria bacterium					SMAG_U16380		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3504944	Contig	2024-01-09	DATIEX01	4169								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37935874	3845	3805	12				
GCA_003646195.1	ASM364619v1	Gammaproteobacteria bacterium					B46_G6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1299739	Contig	2018-10-15	QNEU01	4168								Illumina HiSeq	The University of Texas at Austin	PRJNA362212	SAMN09215164	1504	1474	9				
GCA_012032865.1	ASM1203286v1	Gammaproteobacteria bacterium					RL_2_23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1482674	Contig	2020-04-05	JAAUPZ01	4167								IonTorrent	University of Wisconsin, Madison	PRJNA612530	SAMN14376470	1744	1296	431				
GCA_036741415.1	ASM3674141v1	Gammaproteobacteria bacterium					CTOTU41353			1579037	Scaffold	2024-02-21	DAINSH01	4164	4962							Illumina	Helmholtz Centre for Environmental Research - UFZ	PRJNA843551	SAMN28746626							
GCA_038130325.1	139573_S174.scaffolds.fasta	Gammaproteobacteria bacterium					139573_S174_vamb_bins.tsv.036_sub			1359173	Scaffold	2024-04-15	JAYPNH01	4162	4683							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861298							
GCA_009838305.1	ASM983830v1	Gammaproteobacteria bacterium					SB0664_bin_41		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	991040	Scaffold	2020-01-09	VXRW01	4156	4340							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598355	946	918	17				
GCA_011525215.1	ASM1152521v1	Gammaproteobacteria bacterium					PL36313bin_60			1324434	Scaffold	2020-03-20	WTIK01	4155	4581							Illumina HiSeq	James Cook University	PRJNA594068	SAMN13495022							
GCA_028824315.1	ASM2882431v1	Gammaproteobacteria bacterium					IRC4_bin_46		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3276091	Scaffold	2023-02-23	JAPPEH01	4155	4554							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15855332	3392	3314	46				
GCA_013043615.1	ASM1304361v1	Gammaproteobacteria bacterium					Site_A14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2635626	Contig	2020-05-11	JABDNW01	4153								Illumina NextSeq	Monash University	PRJNA623061	SAMN14538008	2879	2843	17				
GCA_003483765.1	ASM348376v1	Gammaproteobacteria bacterium					UBA8967		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1068210	Scaffold	2018-09-06	DMYB01	4146	5271							unspecified	University of Queensland	PRJNA417962	SAMN08018191	1234	1213	6				
GCA_027324005.1	ASM2732400v1	Gammaproteobacteria bacterium					clean796			2582797	Contig	2022-12-27	DAHVZA01	4146								Illumina	an eLibrary of Microbial Systematics and Genomics	PRJNA834572	SAMN28404346							
GCA_012511435.1	ASM1251143v1	Gammaproteobacteria bacterium					AS10tlH2TH_318		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2690106	Contig	2020-04-17	JAAZGB01	4145								NextSeq 500	Technical University of Denmark	PRJNA602310	SAMN13894684	2885	2786	56				
GCA_038138325.1	139583_S184.scaffolds.fasta	Gammaproteobacteria bacterium					139583_S184_metabat_bins_sens.tsv.142_sub			928254	Scaffold	2024-04-15	JAYQDN01	4145	4622							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861706							
GCA_963582915.1	CB9_323.15	Gammaproteobacteria bacterium					CB9_323.15			635116	Contig	2023-11-04	CAUZSQ01	4143								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238344							
GCA_003476905.1	ASM347690v1	Gammaproteobacteria bacterium					UBA10415		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	779187	Scaffold	2018-09-06	DMUQ01	4141	6763							Illumina HiSeq 1000	University of Queensland	PRJNA417962	SAMN08018101	976	941	13				
GCA_003228645.1	ASM322864v1	Gammaproteobacteria bacterium					SZUA-193			2323503	Contig	2018-06-15	QIEU01	4138								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09240177							
GCA_031388385.1	ASM3138838v1	Gammaproteobacteria bacterium					SOY_30_concoct_287			2615492	Contig	2023-09-12	JANMRQ01	4138								Illumina NovaSeq	EPFL	PRJNA808857	SAMN29839176							
GCA_018828665.1	ASM1882866v1	Gammaproteobacteria bacterium					OSS_A.mb.20		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3763323	Contig	2021-06-09	JAHJVN01	4137								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298644	4270	4174	71				
GCA_035558395.1	ASM3555839v1	Gammaproteobacteria bacterium					SMAG_U13379		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3511094	Contig	2024-01-11	DATMCJ01	4136								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37942785	3765	3723	15				
GCA_015658625.1	ASM1565862v1	Gammaproteobacteria bacterium					SZUA-1154		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1143195	Contig	2020-11-23	DQOM01	4132								Illumina HiSeq 2500	The University of Hong Kong	PRJNA488180	SAMN09926349	1337	1285	26				
GCA_030596945.1	ASM3059694v1	Gammaproteobacteria bacterium					CSMAG_747			1808716	Contig	2023-08-03	JAUVST01	4131								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34048450							
GCA_030832225.1	ASM3083222v1	Gammaproteobacteria bacterium					SFB_Fresh_Co_123			1456746	Contig	2023-08-18	JAURJN01	4131								Illumina HiSeq	Stanford University	PRJNA819083	SAMN35717144							
GCA_030042315.1	ASM3004231v1	Gammaproteobacteria bacterium					JOPF320			2137400	Contig	2023-05-19	JASHZX01	4128								Illumina HiSeq	National University of Singapore	PRJNA883528	SAMN35020412							
GCA_035269765.1	ASM3526976v1	Gammaproteobacteria bacterium					SMAG_U9126		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1850624	Contig	2024-01-08	DATFIU01	4126								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37964268	2123	2060	18				
GCA_036279395.1	ASM3627939v1	Gammaproteobacteria bacterium					SMAG_U1480		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1599223	Contig	2024-01-29	DASUJG01	4125								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37961629	1776	1719	20				
GCA_009844975.1	ASM984497v1	Gammaproteobacteria bacterium					SB0672_bin_18		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1729687	Scaffold	2020-01-09	VYAM01	4124	4470							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598579	1721	1627	76				
GCA_018677265.1	ASM1867726v1	Gammaproteobacteria bacterium					HDS-46		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2102243	Contig	2021-06-02	JAHHNU01	4124								Illumina NextSeq	Monash University	PRJNA623061	SAMN19246983	2176	2149	12				
GCA_024510985.1	ASM2451098v1	Gammaproteobacteria bacterium					Ifr-MOX-193			2393289	Scaffold	2022-08-03	JANEME01	4122	5579							Illumina NovaSeq	University of Rhode Island	PRJNA523619	SAMN29718560							
GCA_030625945.1	ASM3062594v1	Gammaproteobacteria bacterium					CSMAG_111			1039290	Contig	2023-08-03	DAOUPX01	4121								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34042674							
GCA_036986215.1	ASM3698621v1	Gammaproteobacteria bacterium					BMS9Abin32		Annotation submitted by JAMSTEC	924476	Contig	2023-12-10	BTRD01	4121								Illumina MiSeq	JAMSTEC	PRJDB5792	SAMD00641676	758	655					
GCA_038102205.1	139560_S161.scaffolds.fasta	Gammaproteobacteria bacterium					139560_S161_concoct_bins.tsv.071_sub			3289123	Scaffold	2024-04-15	JAYNXA01	4121	6628							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860753							
GCA_018677125.1	ASM1867712v1	Gammaproteobacteria bacterium					IDS-41		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2070351	Contig	2021-06-02	JAHHOB01	4120								Illumina NextSeq	Monash University	PRJNA623061	SAMN19246990	2334	2304	8				
GCA_009835525.1	ASM983552v1	Gammaproteobacteria bacterium					SB0668_bin_35		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1781214	Scaffold	2020-01-09	VXXF01	4115	4448							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598494	1672	1572	75				
GCA_038153585.1	139562_S163.scaffolds.fasta	Gammaproteobacteria bacterium					139562_S163_metabat_bins_sens.tsv.085			2204377	Scaffold	2024-04-15	JAYOYQ01	4115	7520							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860835							
GCA_963581405.1	CB9_20m.9	Gammaproteobacteria bacterium					CB9_20m.9			790843	Contig	2023-11-04	CAUZND01	4115								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238340							
GCA_963694345.1	CBN3_331.34	Gammaproteobacteria bacterium					CBN3_331.34			1202052	Contig	2023-12-09	CAVODM01	4114								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238531							
GCA_035904425.1	ASM3590442v1	Gammaproteobacteria bacterium					ST_AS_metabat.99_sub			1124970	Contig	2024-01-19	JAMHVJ01	4113								Illumina NovaSeq	University of Illinois Urbana-Champaign	PRJNA817211	SAMN26753660							
GCA_011040135.1	ASM1104013v1	Gammaproteobacteria bacterium					HyVt-263		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1434384	Contig	2020-02-28	DRCZ01	4112								Illumina MiSeq	The University of Hong Kong	PRJNA480137	SAMN09638443	1503	1458	32				
GCA_032250705.1	ASM3225070v1	Gammaproteobacteria bacterium					TamC13-51		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2619939	Scaffold	2023-10-01	JAVVFQ01	4111	4218							DNBseq	Research Center of Biotechnology RAS	PRJNA1019644	SAMN37487617	2776	2713	38				
GCA_024511445.1	ASM2451144v1	Gammaproteobacteria bacterium					Gamma1-220			3513957	Scaffold	2022-08-03	JANELI01	4109	4283							Illumina NovaSeq	University of Rhode Island	PRJNA523619	SAMN29718528							
GCA_003232655.1	ASM323265v1	Gammaproteobacteria bacterium					SZUA-91			1996712	Scaffold	2018-06-15	QIIS01	4108	4141							Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09240075							
GCA_003485485.1	ASM348548v1	Gammaproteobacteria bacterium					UBA11107		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	832759	Scaffold	2018-09-06	DNIG01	4105	7449							Illumina HiSeq 1000	University of Queensland	PRJNA417962	SAMN08018458	1055	1021	16				
GCA_030599425.1	ASM3059942v1	Gammaproteobacteria bacterium					CSMAG_622			1260200	Contig	2023-08-03	JAUVNY01	4102								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34048325							
GCA_038132335.1	SD3107_S37.scaffolds.fasta	Gammaproteobacteria bacterium					SD3107_S37.metabat_2.056			1941652	Scaffold	2024-04-15	JAYPRF01	4095	4208							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862028							
GCA_030620275.1	ASM3062027v1	Gammaproteobacteria bacterium					CSMAG_2890			1511662	Contig	2023-08-03	JAUXEZ01	4094								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34051083							
GCA_028816915.1	ASM2881691v1	Gammaproteobacteria bacterium					STY3_bin_7		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2046507	Scaffold	2023-02-23	JAPPQF01	4088	5363							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15855656	1930	1886	28				
GCA_011322905.1	ASM1132290v1	Gammaproteobacteria bacterium					HyVt-462		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1080437	Contig	2020-03-16	DRLK01	4085								Illumina HiSeq 2500	The University of Hong Kong	PRJNA480137	SAMN09638664	1163	1142	16				
GCA_029880155.1	ASM2988015v1	Gammaproteobacteria bacterium					8_1_Oct_SF_Bin28		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1937367	Contig	2023-04-26	JAOUOV01	4085								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443199	2212	2177	10				
GCA_022712695.1	ASM2271269v1	Gammaproteobacteria bacterium					MC-15			1648188	Contig	2022-03-28	JAFLKC01	4082								Illumina MiSeq	Nanyang Technological University	PRJNA693108	SAMN17386803							
GCA_029863265.1	ASM2986326v1	Gammaproteobacteria bacterium					13_May_SF_Bin64		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3413153	Contig	2023-04-24	JAOTWA01	4080								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442710	3700	3599	71				
GCA_009841865.1	ASM984186v1	Gammaproteobacteria bacterium					SB0678_bin_24		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1791158	Scaffold	2020-01-09	VYGN01	4079	4739							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598736	1779	1642	115				
GCA_038103875.1	139556_S158.scaffolds.fasta	Gammaproteobacteria bacterium					139556_S158_metabat_bins_sens.tsv.037			3018285	Scaffold	2024-04-15	JAYNZV01	4079	5438							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860680							
GCA_030051715.1	ASM3005171v1	Gammaproteobacteria bacterium					JOPF719			2172194	Contig	2023-05-19	JASIPG01	4076								Illumina HiSeq	National University of Singapore	PRJNA883528	SAMN35020811							
GCA_038217715.1	ASM3821771v1	Gammaproteobacteria bacterium					Co_metawrap_2987			2683149	Contig	2024-04-16	JBBRKJ01	4073								Illumina HiSeq	East China Normal University	PRJNA855145	SAMN40020887							
GCA_015487625.1	ASM1548762v1	Gammaproteobacteria bacterium					S012_53			1561352	Contig	2020-11-16	WFPI01	4072								Illumina HiSeq	Portland State University	PRJNA546572	SAMN12876370							
GCA_009885315.1	ASM988531v1	Gammaproteobacteria bacterium					Bin_76_8			1833283	Contig	2020-01-15	VFLA01	4062								Illumina HiSeq	University of Ottawa	PRJNA525692	SAMN12036152							
GCA_024511825.1	ASM2451182v1	Gammaproteobacteria bacterium					Gamma1-115			3993224	Scaffold	2022-08-03	JANEKS01	4061	4150							Illumina NovaSeq	University of Rhode Island	PRJNA523619	SAMN29718512							
GCA_029881375.1	ASM2988137v1	Gammaproteobacteria bacterium					8_1_July_SF_Bin46		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2845369	Contig	2023-04-26	JAOUMS01	4059								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443144	2989	2929	30				
GCA_036488575.1	ASM3648857v1	Gammaproteobacteria bacterium					SMAG_U5191		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1708705	Contig	2024-02-09	DASXHK01	4059								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37957659	1964	1937	17				
GCA_018822115.1	ASM1882211v1	Gammaproteobacteria bacterium					Modern_marine_rock_biofilm.mb.84		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	954884	Contig	2021-06-09	JAHJKO01	4058								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298245	1029	989	8				
GCA_029859205.1	ASM2985920v1	Gammaproteobacteria bacterium					4_1_Jan_SF_Bin31		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2673845	Contig	2023-04-24	JAOUDN01	4058								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442905	2876	2824	26				
GCA_003477145.1	ASM347714v1	Gammaproteobacteria bacterium					UBA9398		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1067540	Scaffold	2018-09-06	DMTH01	4057	5431							unspecified	University of Queensland	PRJNA417962	SAMN08019924	1256	1227	8				
GCA_013139675.1	ASM1313967v1	Gammaproteobacteria bacterium					GLR156		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1364775	Contig	2020-05-21	WTAJ01	4052								Illumina HiSeq	GNS Science	PRJNA562730	SAMN13287939	1513	1483	19				
GCA_003483325.1	ASM348332v1	Gammaproteobacteria bacterium					UBA8418		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2475336	Scaffold	2018-09-06	DMWI01	4048	5269							Illumina HiSeq 2000	University of Queensland	PRJNA417962	SAMN08018148	2603	2395	176				
GCA_038127475.1	139577_S178.scaffolds.fasta	Gammaproteobacteria bacterium					139577_S178_metabat_bins_sens.tsv.003			968953	Scaffold	2024-04-15	JAYPHW01	4047	4397							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861439							
GCA_018646465.1	ASM1864646v1	Gammaproteobacteria bacterium					SI034_bin160		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3522390	Contig	2021-06-02	JABGUS01	4042								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14913824	3624	3560	25				
GCA_012800415.1	ASM1280041v1	Gammaproteobacteria bacterium					AS21ysBPME_226		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2270286	Contig	2020-04-24	JAAZJJ01	4040								Illumina HiSeq 2500	Technical University of Denmark	PRJNA602310	SAMN13894770	2575	2451	74				
GCA_019422425.1	ASM1942242v1	Gammaproteobacteria bacterium					HRGM_Genome_2510			772706	Scaffold	2021-07-30	JAHZDJ01	4040	7328							Illumina HiSeq	Yonsei University	PRJNA678426	SAMN19224976							
GCA_009992695.1	ASM999269v1	Gammaproteobacteria bacterium					CG_2015-24_64_12		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1868625	Scaffold	2020-01-29	JAACUV01	4036	4786							Illumina HiSeq	DOE Joint Genome Institute	PRJNA405969	SAMN13287411	2050	1971	53				
GCA_036525755.1	ASM3652575v1	Gammaproteobacteria bacterium					SMAG_U78		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1243628	Contig	2024-02-09	DATCZU01	4032								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37962281	1413	1383	11				
GCA_031368475.1	ASM3136847v1	Gammaproteobacteria bacterium					OTE_58_metabat_3_sub			5220747	Contig	2023-09-12	JANMNU01	4031								Illumina NovaSeq	EPFL	PRJNA808857	SAMN29838467							
GCA_026710135.1	ASM2671013v1	Gammaproteobacteria bacterium					CAR1_bin_24		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2246205	Scaffold	2022-12-06	JAPORO01	4030	4595							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15854983	2496	2393	85				
GCA_003449715.1	ASM344971v1	Gammaproteobacteria bacterium					UBA11652		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1638063	Scaffold	2018-09-04	DMGT01	4021	5507							Illumina HiSeq 2000	University of Queensland	PRJNA417962	SAMN08017735	1819	1801	9				
GCA_021153125.1	ASM2115312v1	Gammaproteobacteria bacterium					cow8.17			969839	Contig	2021-12-10	JAGKUB01	4016								Illumina HiSeq	Georgia Institute of Technology	PRJNA691978	SAMN17967747							
GCA_018826455.1	ASM1882645v1	Gammaproteobacteria bacterium					Undefined_mixed_planktonic.mb.115		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2386024	Contig	2021-06-09	JAHJZM01	4012								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298747	2520	2478	21				
GCA_018623635.1	ASM1862363v1	Gammaproteobacteria bacterium					HW_metabat.48			1857628	Contig	2021-06-02	JAAZVI01	4011								Illumina NovaSeq	University of Tehran	PRJNA575141	SAMN14400438							
GCA_036445955.1	ASM3644595v1	Gammaproteobacteria bacterium					BS1bin.26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1743959	Contig	2024-02-07	JAZFSA01	4005								Illumina	Tsinghua University	PRJNA1051299	SAMN38797182	1833	1790	23				
GCA_030835535.1	ASM3083553v1	Gammaproteobacteria bacterium					SFB_South_Co_115			773253	Contig	2023-08-18	JAUROY01	4002								Illumina HiSeq	Stanford University	PRJNA819083	SAMN35717176							
GCA_027049625.1	ASM2704962v1	Gammaproteobacteria bacterium					S140_metabat2_scaf2bin.182			2074362	Scaffold	2022-12-19	JALTTH01	4001	4065							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27358942							
GCA_018677215.1	ASM1867721v1	Gammaproteobacteria bacterium					IDS-22		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2957230	Contig	2021-06-02	JAHHNO01	3994								Illumina NextSeq	Monash University	PRJNA623061	SAMN19246977	3117	3083	14				
GCA_028817595.1	ASM2881759v1	Gammaproteobacteria bacterium					STY1_bin_10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1772233	Scaffold	2023-02-23	JAPPPI01	3994	4366							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15855633	1958	1904	40				
GCA_029860985.1	ASM2986098v1	Gammaproteobacteria bacterium					21_May_SF_Bin27		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2284588	Contig	2023-04-24	JAOUAD01	3994								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442817	2537	2501	23				
GCA_020444795.1	ASM2044479v1	Gammaproteobacteria bacterium					HKST-UBA207		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017164	Scaffold	2021-10-13	JAGRHV01	3990	4244							Illumina HiSeq	The University Hong Kong	PRJNA432264	SAMN14564280	2280	2238	31				
GCA_038128385.1	139576_S177.scaffolds.fasta	Gammaproteobacteria bacterium					139576_S177_metabat_bins_sspec.tsv.019			950779	Scaffold	2024-04-15	JAYPJJ01	3990	4646							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861400							
GCA_036525735.1	ASM3652573v1	Gammaproteobacteria bacterium					SMAG_U80		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1584129	Contig	2024-02-09	DATCZW01	3987								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37962283	1830	1800	14				
GCA_003229765.1	ASM322976v1	Gammaproteobacteria bacterium					SZUA-176			2230988	Contig	2018-06-15	QIFL01	3982								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09240160							
GCA_009836885.1	ASM983688v1	Gammaproteobacteria bacterium					SB0666_bin_30		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3934257	Scaffold	2020-01-09	VXUO01	3980	4969							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598425	3776	3423	334				
GCA_029883845.1	ASM2988384v1	Gammaproteobacteria bacterium					4_1_Oct_SF_Bin34		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2731806	Contig	2023-04-26	JAOUIS01	3978								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443040	2891	2849	18				
GCA_035718225.1	ASM3571822v1	Gammaproteobacteria bacterium					SMAG_U623		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1341530	Contig	2024-01-16	DASTHL01	3976								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37969929	1501	1461	8				
GCA_012032615.1	ASM1203261v1	Gammaproteobacteria bacterium					RU_8_47		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1699640	Contig	2020-04-05	JAAUSM01	3967								IonTorrent	University of Wisconsin, Madison	PRJNA612530	SAMN14376535	1964	1602	353				
GCA_011376115.1	ASM1137611v1	Gammaproteobacteria bacterium					HyVt-548		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2320377	Contig	2020-03-17	DRPA01	3962								Illumina HiSeq 2500	The University of Hong Kong	PRJNA480137	SAMN09638759	2518	2466	16				
GCA_018826465.1	ASM1882646v1	Gammaproteobacteria bacterium					Undefined_mixed_planktonic.mb.42		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2772214	Contig	2021-06-09	JAHKAN01	3957								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298774	2925	2886	20				
GCA_963582385.1	CB6_AW.21	Gammaproteobacteria bacterium					CB6_AW.21			985503	Contig	2023-11-04	CAUZSO01	3955								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238232							
GCA_026196435.1	ASM2619643v1	Gammaproteobacteria bacterium					N1M-Bin_11		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1388214	Contig	2022-11-15	JAPHTD01	3947								Illumina NextSeq	Northeastern University	PRJNA896156	SAMN31562314	1634	1599	13				
GCA_030601075.1	ASM3060107v1	Gammaproteobacteria bacterium					CSMAG_787			1535485	Contig	2023-08-03	JAUVUH01	3944								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34048490							
